date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:35	10456/10456	---M-Z	200	added ('OK')	text/html	etag:%22afa062d-28d8-587676cc84a00-gzip%22	http://thememine.net/themeforest/buildco/index.html	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/index.html	(from )
21:05:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Aug%202020%2018:05:36%20GMT	http://thememine.net/robots.txt		(from )
21:05:36	1644/1644	---M--	200	added ('OK')	image/png	etag:%22afa0682-66c-586b661e32800%22	http://thememine.net/themeforest/buildco/assets/img/favicon.png	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/img/favicon.png	(from http://thememine.net/themeforest/buildco/index.html)
21:05:37	121200/121200	---M--	200	added ('OK')	text/css	etag:%22afa06d2-1d970-57489f2c6a700%22	http://thememine.net/themeforest/buildco/assets/css/bootstrap.min.css	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/css/bootstrap.min.css	(from http://thememine.net/themeforest/buildco/index.html)
21:05:37	45633/45633	---M--	200	added ('OK')	text/css	etag:%22afa06d8-b241-57489f2c6a700%22	http://thememine.net/themeforest/buildco/assets/css/font-awesome.min.css	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/css/font-awesome.min.css	(from http://thememine.net/themeforest/buildco/index.html)
21:05:39	3455/3455	---M--	200	added ('OK')	text/css	etag:%22afa06da-d7f-586b10dc68280%22	http://thememine.net/themeforest/buildco/assets/css/flaticon-set.css	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/css/flaticon-set.css	(from http://thememine.net/themeforest/buildco/index.html)
21:05:39	6951/6951	---M--	200	added ('OK')	text/css	etag:%22afa06d1-1b27-57489f2c6a700%22	http://thememine.net/themeforest/buildco/assets/css/magnific-popup.css	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/css/magnific-popup.css	(from http://thememine.net/themeforest/buildco/index.html)
21:05:40	2936/2936	---M--	200	added ('OK')	text/css	etag:%22afa06d5-b78-57489f2c6a700%22	http://thememine.net/themeforest/buildco/assets/css/owl.carousel.min.css	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/css/owl.carousel.min.css	(from http://thememine.net/themeforest/buildco/index.html)
21:05:40	936/936	---M--	200	added ('OK')	text/css	etag:%22afa06d6-3a8-57489f2c6a700%22	http://thememine.net/themeforest/buildco/assets/css/owl.theme.default.min.css	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/css/owl.theme.default.min.css	(from http://thememine.net/themeforest/buildco/index.html)
21:05:42	69727/69727	---M--	200	added ('OK')	text/css	etag:%22afa06d3-1105f-57489f2c6a700%22	http://thememine.net/themeforest/buildco/assets/css/animate.css	C:/Benim%20Web%20Sitem/bbb/thememine.net/themeforest/buildco/assets/css/animate.css	(from http://thememine.net/themeforest/buildco/index.html)
